BinID,bin_level,Time
BIN_001,75.32,2025-03-03T04:35:52.138650+08:00
BIN_001,74.47,2025-03-03T04:45:51.785315+08:00
BIN_001,74.04,2025-03-03T04:55:51.434281+08:00
BIN_001,74.47,2025-03-03T05:05:51.083919+08:00
BIN_001,74.04,2025-03-03T05:15:50.730276+08:00
BIN_001,75.32,2025-03-03T05:25:50.379250+08:00
BIN_001,72.77,2025-03-03T05:35:50.025442+08:00
BIN_001,74.04,2025-03-03T05:45:49.674715+08:00
BIN_001,73.62,2025-03-03T05:55:49.321505+08:00
BIN_001,72.34,2025-03-03T06:05:48.970338+08:00
BIN_001,73.19,2025-03-03T06:15:48.620564+08:00
BIN_001,73.62,2025-03-03T06:25:48.272250+08:00
BIN_001,73.62,2025-03-03T06:35:47.924049+08:00
BIN_001,72.77,2025-03-03T06:45:47.570929+08:00
BIN_001,72.77,2025-03-03T06:55:47.215325+08:00
BIN_001,73.19,2025-03-03T07:05:46.856400+08:00
BIN_001,74.47,2025-03-03T07:15:46.497623+08:00
BIN_001,94.47,2025-03-03T07:25:46.139148+08:00
BIN_001,94.04,2025-03-03T07:35:45.781183+08:00
BIN_001,94.04,2025-03-03T07:45:45.424072+08:00
BIN_001,94.04,2025-03-03T07:55:45.069577+08:00
BIN_001,94.47,2025-03-03T08:05:44.710204+08:00
BIN_001,93.62,2025-03-03T08:15:44.355582+08:00
BIN_001,94.47,2025-03-03T08:25:44.001672+08:00
BIN_001,95.32,2025-03-03T08:35:43.646734+08:00
BIN_001,94.89,2025-03-03T08:45:43.293173+08:00
BIN_001,94.47,2025-03-03T08:55:42.942304+08:00
BIN_001,93.62,2025-03-03T09:05:42.596785+08:00
BIN_001,93.62,2025-03-03T09:15:42.249906+08:00
BIN_001,93.62,2025-03-03T09:25:41.903569+08:00
BIN_001,94.89,2025-03-03T09:35:41.565486+08:00
BIN_001,93.62,2025-03-03T09:45:41.220330+08:00
BIN_001,94.04,2025-03-03T09:55:40.886029+08:00
BIN_001,94.47,2025-03-03T10:05:40.546941+08:00
BIN_001,94.04,2025-03-03T10:15:40.213614+08:00
BIN_001,94.04,2025-03-03T10:25:39.872861+08:00
BIN_001,95.32,2025-03-03T10:35:39.529561+08:00
BIN_001,94.89,2025-03-03T10:45:39.194774+08:00
BIN_001,94.04,2025-03-03T10:55:38.854189+08:00
BIN_001,94.04,2025-03-03T11:05:38.516269+08:00
BIN_001,94.04,2025-03-03T11:15:38.177608+08:00
BIN_001,94.04,2025-03-03T11:25:37.836966+08:00
BIN_001,95.32,2025-03-03T11:35:37.497426+08:00
BIN_001,94.89,2025-03-03T11:45:37.159081+08:00
BIN_001,94.47,2025-03-03T11:55:36.822017+08:00
BIN_001,94.89,2025-03-03T12:05:36.487894+08:00
BIN_001,94.04,2025-03-03T12:15:36.157269+08:00
BIN_001,94.47,2025-03-03T12:25:35.823459+08:00
BIN_001,94.47,2025-03-03T12:35:35.489712+08:00
BIN_001,94.89,2025-03-03T12:45:35.159971+08:00
BIN_001,94.04,2025-03-03T12:55:34.829421+08:00
BIN_001,95.32,2025-03-03T13:05:34.496628+08:00
BIN_001,95.74,2025-03-03T13:15:34.166077+08:00
BIN_001,95.32,2025-03-03T13:25:33.835435+08:00
BIN_001,94.47,2025-03-03T13:35:33.506842+08:00
BIN_001,94.47,2025-03-03T13:45:33.181040+08:00
BIN_001,94.04,2025-03-03T13:55:32.855081+08:00
BIN_001,95.74,2025-03-03T14:05:32.533606+08:00
BIN_001,94.04,2025-03-03T14:15:32.208335+08:00
BIN_001,94.47,2025-03-03T14:25:31.887208+08:00
BIN_001,94.47,2025-03-03T14:35:31.562486+08:00
BIN_001,94.47,2025-03-03T14:45:31.239977+08:00
BIN_001,95.32,2025-03-03T14:55:30.909897+08:00
BIN_001,94.89,2025-03-03T15:05:30.584087+08:00
BIN_001,94.04,2025-03-03T15:15:30.254489+08:00
BIN_001,95.32,2025-03-03T15:25:29.925079+08:00
BIN_001,94.47,2025-03-03T15:35:29.595228+08:00
BIN_001,94.04,2025-03-03T15:45:29.270227+08:00
BIN_001,94.04,2025-03-03T15:55:28.940811+08:00
BIN_001,94.47,2025-03-03T16:05:28.614940+08:00
BIN_001,94.89,2025-03-03T16:15:28.284502+08:00
BIN_001,94.47,2025-03-03T16:25:27.959536+08:00
BIN_001,94.47,2025-03-03T16:35:27.633757+08:00
BIN_001,94.89,2025-03-03T16:45:27.311276+08:00
BIN_001,95.32,2025-03-03T16:55:26.986750+08:00
BIN_001,94.04,2025-03-03T17:05:26.665463+08:00
BIN_001,94.47,2025-03-03T17:15:26.341147+08:00
BIN_001,94.89,2025-03-03T17:25:26.018416+08:00
BIN_001,95.74,2025-03-03T17:35:25.696087+08:00
BIN_001,95.32,2025-03-03T17:45:25.373739+08:00
BIN_001,94.04,2025-03-03T17:55:25.053776+08:00
BIN_001,94.89,2025-03-03T18:05:24.732474+08:00
BIN_001,93.62,2025-03-03T18:15:24.414238+08:00
BIN_001,94.04,2025-03-03T18:25:24.097093+08:00
BIN_001,94.47,2025-03-03T18:35:23.780088+08:00
BIN_001,94.89,2025-03-03T18:45:23.459550+08:00
BIN_001,94.04,2025-03-03T18:55:23.140411+08:00
BIN_001,94.47,2025-03-03T19:05:22.820268+08:00
BIN_001,95.32,2025-03-03T19:15:22.502527+08:00
BIN_001,94.04,2025-03-03T19:25:22.180494+08:00
BIN_001,3.4,2025-03-03T19:35:21.855807+08:00
BIN_001,3.4,2025-03-03T19:45:21.522647+08:00
BIN_001,3.83,2025-03-03T19:55:21.198582+08:00
BIN_001,4.26,2025-03-03T20:05:20.877673+08:00
BIN_001,3.4,2025-03-03T20:15:20.553905+08:00
BIN_001,4.26,2025-03-03T20:25:20.226877+08:00
BIN_001,4.26,2025-03-03T20:35:19.906722+08:00
